Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
932.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,0,1,1
,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
21567.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,0,1
31655.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,1,1
32914.0,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,1,1,0
22628.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,1,0
11488.0,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
8615.0,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
16335.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
27476.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,0,1,1
,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,1,1,1
18198.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,0,1
7278.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,0,0
21661.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,0,1
26328.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,1,1,1
27077.0,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,1,0
18206.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,0,0
21417.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,0,1,1
,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
25697.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,1,1,1
21013.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,1,1,1
24665.0,Chevrolet,Monte Carlo,SS Coupe 2D,Coupe,6,3.8,2,1,1,0
25956.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,0,1,1
19419.0,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,1,0
25874.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
20200.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
13973.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,1,1
19347.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
11981.0,Chevrolet,AVEO,LS Sedan 4D,Sedan,4,1.6,4,1,1,1
30948.0,Chevrolet,AVEO,LS Sedan 4D,Sedan,4,1.6,4,0,1,0
16688.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,0,0
18795.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,1
11156.0,Chevrolet,AVEO,LS Sedan 4D,Sedan,4,1.6,4,0,1,1
21039.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,0,1
31791.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,1,1,1
21293.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,0,1
30404.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,0,0
,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,1,1,0
18449.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
25285.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
21910.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,0,1,1
20510.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,0,1
30082.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,1,1
37345.0,Chevrolet,AVEO,LS Sedan 4D,Sedan,4,1.6,4,0,1,1
8221.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1
25040.0,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
4142.0,Chevrolet,AVEO,LS Sedan 4D,Sedan,4,1.6,4,0,1,0
22779.0,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,1
18910.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,0,1,1
,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
8928.0,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,0,1
33892.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,0,0
19712.0,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,0,1,1
12313.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,0,1
16041.0,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,1,1
19273.0,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,1,1,0
11647.0,Chevrolet,Monte Carlo,LS Coupe 2D,Coupe,6,3.8,2,1,0,1
20530.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,0,1,1
,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
17441.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
19874.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,0
18661.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
26477.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,0,1
21121.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,1,0
,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,0,1
17417.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,1,1
22405.0,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,0,1,1
21394.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
1480.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,1,1,1
17273.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
21512.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,0
16342.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,0
19100.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,0,1
27800.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,1,0
25107.0,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,0,1,1
24218.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,1,1,1
22479.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,0,1,1
13678.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
24542.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
23323.0,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,1,1
23103.0,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,0,1,1
1592.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,1,0
29420.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,1
23491.0,Chevrolet,Monte Carlo,LS Coupe 2D,Coupe,6,3.8,2,1,1,0
18602.0,Chevrolet,Monte Carlo,LS Coupe 2D,Coupe,6,3.8,2,1,0,0
22272.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,1
21167.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,1,0
18930.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,0,1
28683.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,0,1,1
20870.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,0,0
,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,1,1
26223.0,Chevrolet,Monte Carlo,SS Coupe 2D,Coupe,6,3.8,2,1,1,1
8970.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,0
22287.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,1
27521.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,1,1,1
20910.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
28408.0,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,0,1,1
28354.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,0,0
12115.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,0,1
16193.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,0,1
23056.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,1,1
15903.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,0,1,1
22964.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
3907.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,0,1
32844.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
14948.0,Chevrolet,Monte Carlo,SS Coupe 2D,Coupe,6,3.8,2,1,1,0
23121.0,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,0,1,1
33906.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
12021.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
20158.0,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
15755.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
8754.0,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,1,0
14095.0,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
26272.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,1,1
20751.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,1,1
10014.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,0,1
24568.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
24323.0,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
2308.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0
17488.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
16958.0,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
21829.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
18533.0,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,1,1,1
3828.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,1,1
24583.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,0,1,1
19225.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
50387.0,SAAB,9_3,Linear Sedan 4D,Sedan,4,2.0,4,1,0,1
24568.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,1,0,1
27096.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0
26980.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,0
27721.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,0,1
1169.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
23335.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,0,1,1
11221.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,1,1
17830.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
20100.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,1,0
17508.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
15600.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
17594.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,0,1,1
31324.0,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1
25394.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,0,1,1
25845.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
22479.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,0,0
13262.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
14546.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
19521.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
12980.0,Chevrolet,Cobalt,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
20925.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,0,1
31805.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,0,1
17787.0,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
22423.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,1,0
24747.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,1,1
21272.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,1,1,1
,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,0
29925.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,1,0
19593.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,1,1,1
35299.0,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,0,0,0
29891.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
17335.0,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,0,1
17343.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,0,1,1
11554.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,0,1
,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
23143.0,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
22641.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,1,1,1
19539.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,0,0
27574.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,0,0
,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
10003.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,0
21778.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,0,1
23989.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,0,0
31202.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
14304.0,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,0,1
14363.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
10340.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,1,0
25014.0,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
20309.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,1,1,1
4922.0,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,0,1,1
22814.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,1
12305.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,1,1,1
7372.0,Chevrolet,Cavalier,Coupe 2D,Coupe,4,2.2,2,1,1,1
12251.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,0,0
865.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,1,1,1
11892.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
6447.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
6685.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
25247.0,SAAB,9_5,Arc Sedan 4D,Sedan,4,2.3,4,1,1,1
19800.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
19490.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
24031.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,0,1
27600.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,0
10011.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,0,1
5144.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,0
25816.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
33357.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
11393.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,1,1,1
19148.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
31197.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
7287.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,1,1
22380.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,1,0
10213.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,0,1
,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
5131.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,0,1,1
2189.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,1,1
20334.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,1,0,0
,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,1,1
24008.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0
20105.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,0
22964.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,1,1
,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
11273.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,0
27558.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,0,1
21627.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,0,1,1
23826.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
33374.0,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,1,1
23621.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,0,1,1
30063.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,0,1
14937.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
17959.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,0,0
14754.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
21341.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,0,1
27199.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,1,1
30502.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
